identifier,project_code,sales_reporting_name,date,calendar_year,calendar_month,column,raw_value,median_val,mad_score,anomaly_severity
A3310050921225003,331005,Adak,2021-03-01,2021,3,fuel_used_gallons,6097,13510,5,Strong
A3310051023225003,331005,Adak,2023-04-01,2023,4,diesel_kwh_generated,249556,164907,5,Strong
A3310050924225003,331005,Adak,2024-03-01,2024,3,powerhouse_consumption_kwh,77093,26432,7,Strong
A3310051024225003,331005,Adak,2024-04-01,2024,4,powerhouse_consumption_kwh,73471,26432,7,Strong
A3310051124225003,331005,Adak,2024-05-01,2024,5,powerhouse_consumption_kwh,67798,26432,6,Strong
A3310051224225003,331005,Adak,2024-06-01,2024,6,powerhouse_consumption_kwh,63535,26432,5,Strong
A3310050426225003,331005,Adak,2025-10-01,2025,10,fuel_used_gallons,5363,13510,5,Strong
A3310050426225003,331005,Adak,2025-10-01,2025,10,diesel_kwh_generated,59230,164907,6,Strong
A3310050526225003,331005,Adak,2025-11-01,2025,11,fuel_used_gallons,5618,13510,5,Strong
A3310050526225003,331005,Adak,2025-11-01,2025,11,diesel_kwh_generated,56322,164907,6,Strong
A3310050626225003,331005,Adak,2025-12-01,2025,12,diesel_kwh_generated,82170,164907,5,Strong
A3310100819225003,331010,Akhiok,2019-02-01,2019,2,residential_sold_to,18895,7346,8,Strong
A3310100921225003,331010,Akhiok,2021-03-01,2021,3,fuel_used_gallons,4473,2760,5,Strong
A3310100122225003,331010,Akhiok,2021-07-01,2021,7,fuel_used_gallons,1165,2760,5,Strong
A3310100222225003,331010,Akhiok,2021-08-01,2021,8,fuel_used_gallons,1165,2760,5,Strong
A3310100622225003,331010,Akhiok,2021-12-01,2021,12,commercial_sold_to,19102,9137,5,Strong
A3310100822225003,331010,Akhiok,2022-02-01,2022,2,powerhouse_consumption_kwh,5199,774,6,Strong
A3310100923225003,331010,Akhiok,2023-03-01,2023,3,peak_consumption_kw,2202,59,66,Extreme
A3310101223225003,331010,Akhiok,2023-06-01,2023,6,residential_sold_to,14682,7346,5,Strong
A3310100724225003,331010,Akhiok,2024-01-01,2024,1,diesel_kwh_generated,45738,23600,5,Strong
A3310100724225003,331010,Akhiok,2024-01-01,2024,1,com_facil_sold_to,9947,2410,5,Strong
A3310100724225003,331010,Akhiok,2024-01-01,2024,1,govt_facil_sold_to,1269,492,5,Strong
A3310100425225003,331010,Akhiok,2024-10-01,2024,10,diesel_kwh_generated,71382,23600,10,Extreme
A3310100425225003,331010,Akhiok,2024-10-01,2024,10,powerhouse_consumption_kwh,4801,774,6,Strong
A3310100226225003,331010,Akhiok,2025-08-01,2025,8,fuel_used_gallons,0,2760,8,Strong
A3310100626225003,331010,Akhiok,2025-12-01,2025,12,govt_facil_sold_to,1163,492,5,Strong
A3310200118225003,331020,Akiachak,2017-07-01,2017,7,residential_customers,136,190,7,Strong
A3310201221225003,331020,Akiachak,2021-06-01,2021,6,powerhouse_consumption_kwh,6129,2975,5,Strong
A3310200223225003,331020,Akiachak,2022-08-01,2022,8,powerhouse_consumption_kwh,8293,2975,8,Strong
A3310200323225003,331020,Akiachak,2022-09-01,2022,9,unbilled_sold_to,95852,4215,54,Extreme
A3310200524225003,331020,Akiachak,2023-11-01,2023,11,fuel_used_gallons,19885,11671,6,Strong
A3310200624225003,331020,Akiachak,2023-12-01,2023,12,fuel_used_gallons,18581,11671,5,Strong
A3310200925225003,331020,Akiachak,2025-03-01,2025,3,wind_kwh_generated,15919,0,NA,Strong
A3310201025225003,331020,Akiachak,2025-04-01,2025,4,wind_kwh_generated,25928,0,NA,Strong
A3310201125225003,331020,Akiachak,2025-05-01,2025,5,wind_kwh_generated,21949,0,NA,Strong
